id;nom;tel;email;description
1;initiative;SMTP;Brant.Hahn11@yahoo.com;Auto Loan Account Tunisian Dinar
2;connect redundant;withdrawal;Itzel_Runolfsdottir@gmail.com;Dynamic Unbranded Avon
3;revolutionize mobile Investment Account;Mouse Frozen deposit;Rudolph.OReilly@hotmail.com;Avon redundant Personal Loan Account
4;Dominican Republic;Djibouti Producer productize;Alisha.Wilkinson@gmail.com;Planner
5;application;synergy Holy See (Vatican City State) transitional;Sherwood_Donnelly@yahoo.com;Computer deposit
6;Assistant program white;integrated;Neha58@yahoo.com;hacking South Dakota
7;connect;navigating;Americo98@yahoo.com;Cedi Investment Account Bike
8;dot-com;Credit Card Account;Alexie_Rowe@gmail.com;transmitting Gold
9;Multi-lateral maroon;Fiji Dollar;Hector.Trantow87@gmail.com;Functionality
10;Bedfordshire;Producer Handcrafted;Dolores.Crist78@yahoo.com;Savings Account payment white
